Weakness ID,Name,Submission_ReleaseDate,Last Modification_Date
1053,Missing Documentation for Design,2019-01-03,2024-02-29
1059,Insufficient Technical Documentation,2019-01-03,2024-02-29
1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC),2020-02-24,2023-06-29
1190,DMA Device Enabled Too Early in Boot Phase,2020-02-24,2023-06-29
1191,On-Chip Debug and Test Interface With Improper Access Control,2020-02-24,2023-10-26
1192,Improper Identifier for IP Block used in System-On-Chip (SOC),2020-02-24,2024-02-29
1193,Power-On of Untrusted Execution Core Before Enabling Fabric Access Control,2020-02-24,2023-06-29
1209,Failure to Disable Reserved Bits,2020-02-24,2023-06-29
1220,Insufficient Granularity of Access Control,2020-02-24,2023-10-26
1221,Incorrect Register Defaults or Module Parameters,2020-02-24,2024-02-29
1222,Insufficient Granularity of Address Regions Protected by Register Locks,2020-02-24,2023-06-29
1223,Race Condition for Write-Once Attributes,2020-02-24,2023-06-29
1224,Improper Restriction of Write-Once Bit Fields,2020-02-24,2023-06-29
1231,Improper Prevention of Lock Bit Modification,2020-02-24,2023-10-26
1232,Improper Lock Behavior After Power State Transition,2020-02-24,2023-06-29
1233,Security-Sensitive Hardware Controls with Missing Lock Bit Protection,2020-02-24,2023-06-29
1234,Hardware Internal or Debug Modes Allow Override of Locks,2020-02-24,2024-02-29
1239,Improper Zeroization of Hardware Register,2020-02-24,2024-02-29
1240,Use of a Cryptographic Primitive with a Risky Implementation,2020-02-24,2023-06-29
1241,Use of Predictable Algorithm in Random Number Generator,2020-02-24,2023-10-26
1242,Inclusion of Undocumented Features or Chicken Bits,2020-02-24,2024-02-29
1243,Sensitive Non-Volatile Information Not Protected During Debug,2020-02-24,2023-10-26
1244,Internal Asset Exposed to Unsafe Debug Access Level or State,2020-02-24,2024-02-29
1245,Improper Finite State Machines (FSMs) in Hardware Logic,2020-02-24,2023-06-29
1246,Improper Write Handling in Limited-write Non-Volatile Memories,2020-02-24,2023-06-29
1247,Improper Protection Against Voltage and Clock Glitches,2020-02-24,2023-10-26
1248,Semiconductor Defects in Hardware Logic with Security-Sensitive Implications,2020-02-24,2023-06-29
1250,Improper Preservation of Consistency Between Independent Representations of Shared State,2020-02-24,2023-06-29
1251,Mirrored Regions with Different Values,2020-02-24,2023-06-29
1252,CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations,2020-02-24,2023-06-29
1253,Incorrect Selection of Fuse Values,2020-02-24,2023-06-29
1254,Incorrect Comparison Logic Granularity,2020-02-24,2023-10-26
1255,Comparison Logic is Vulnerable to Power Side-Channel Attacks,2020-08-20,2024-02-29
1256,Improper Restriction of Software Interfaces to Hardware Features,2020-02-24,2023-06-29
1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,2020-02-24,2023-06-29
1258,Exposure of Sensitive System Information Due to Uncleared Debug Information,2020-02-24,2023-10-26
1259,Improper Restriction of Security Token Assignment,2020-02-24,2023-06-29
1260,Improper Handling of Overlap Between Protected Memory Ranges,2020-02-24,2023-06-29
1261,Improper Handling of Single Event Upsets,2020-02-24,2023-06-29
1262,Improper Access Control for Register Interface,2020-02-24,2023-10-26
1263,Improper Physical Access Control,2020-02-24,2023-06-29
1264,Hardware Logic with Insecure De-Synchronization between Control and Data Channels,2020-02-24,2023-06-29
